/* kommentti;;;;;
1;BvsC;3–7–8 vs 1–5–6;Saat uuden tehtävän, mutta ohjeita on vain vähän.;Aloitan heti ja selvitän puuttuvat yksityiskohdat työn edetessä, koska toimiminen yleensä kirkastaa suunnan nopeasti.;Haluan ensin selkeyttää tavoitteet, rajaukset ja vastuut, jotta tiedän täsmälleen, miten tehtävä kannattaa suorittaa.
2;BvsC;3–7–8 vs 1–5–6;Ryhmässä syntyy odottamaton ongelma, joka pysäyttää etenemisen.;Tartun tilanteeseen ja ehdotan ratkaisua saman tien, koska viivyttely hidastaa kaikkien etenemistä.;Pysähdyn selvittämään, mistä ongelma tarkalleen ottaen johtuu, ennen kuin teen mitään johtopäätöksiä.
3;BvsC;3–7–8 vs 1–5–6;Sinun pitäisi tehdä päätös nopeasti, vaikka tietoa on rajallisesti.;Teen päätöksen ripeästi ja hyväksyn sen, että kaikkea ei voi tietää etukäteen — tärkeintä on liike eteenpäin.;Pyrin hankkimaan lisää tietoa tai aikaa, koska päätösten pitää perustua mahdollisimman hyvään ymmärrykseen.
4;BvsC;3–7–8 vs 1–5–6;Ryhmän työskentely on hidasta eikä kukaan johda kokonaisuutta.;Astun luontevasti ohjaamaan tekemistä ja tuon esiin selkeän suunnan, jotta ryhmä saa vauhtia.;Ehdotan ensin, että kartoitetaan tilanne ja sovitaan työnjaosta yhdessä, jotta kokonaisuus on hallittu.
5;BvsC;3–7–8 vs 1–5–6;Saat uuden mahdollisuuden, johon liittyy epävarmuutta.;Tartun tilaisuuteen innolla — uskon, että rohkeus vie eteenpäin, vaikka kaikki ei ole varmaa.;Punnitsen ensin seuraukset ja riskit, jotta tiedän, onko tilaisuus oikeasti järkevä.
6;BvsC;3–7–8 vs 1–5–6;Työympäristössä tulee äkillinen muutos, eikä kukaan tiedä miten reagoida.;Lähden viemään asiaa eteenpäin ja kokeilen, mikä toimii — mieluummin liike kuin passiivisuus.;Haluan ymmärtää muutoksen syyt ja vaikutukset, jotta voin tehdä perustellun päätöksen jatkosta.
7;BvsC;3–7–8 vs 1–5–6;Sinun pitäisi tuottaa suunnitelma vähällä valmisteluajalla.;Teen nopean, selkeän luonnoksen ja täydennän yksityiskohtia työn edetessä.;Käyn ensin läpi taustat ja vaatimukset, jotta suunnitelma on alusta asti huolellinen ja perusteltu.
8;BvsD;3–7–8 vs 2–6–9;Ryhmän pitäisi päättää suunnasta, mutta kaikki epäröivät.;Ehdotan selkeän suunnan ja olen valmis viemään päätöksen läpi, jotta ryhmän työ etenee.;Kuuntelen muiden näkemyksiä ja pyrin löytämään ratkaisun, joka tukee ryhmän yhteenkuuluvuutta.
9;BvsD;3–7–8 vs 2–6–9;Saat uuden idean, joka voisi edistää projektia.;Tuon idean esiin heti ja ehdotan konkreettisia askeleita, joilla se saadaan nopeasti kokeiluun.;Pohdin ensin, miten idea vaikuttaisi muihin ja miten sen voisi esitellä lempeästi, jotta kaikki kokevat sen turvalliseksi.
10;BvsD;3–7–8 vs 2–6–9;Joku antaa sinulle epäreilua kritiikkiä.;Otan asian suoraan esiin ja selvitän tilanteen nopeasti, koska en halua epäselvyyksien jäävän ilmaan.;Pyrin ensin rauhoittamaan tilanteen ja ymmärtämään toisen näkökulman, jotta ristiriita ei kasva.
11;BvsD;3–7–8 vs 2–6–9;Liityt uuteen ryhmään, jossa et tunne ketään.;Otan aktiivisesti ohjat ja esittelen itseni rohkeasti, jotta saan nopeasti luotua kontaktit ja rytmin tekemiseen.;Tarkkailen ensin ryhmän ilmapiiriä ja dynamiikkaa ja liityn joukkoon rauhallisesti, jotta luon hyvän yhteyden muihin.
12;BvsD;3–7–8 vs 2–6–9;Tiimissä joku tarvitsee apua ja hän on selvästi kuormittunut;Kysyn nopeasti, miten voin auttaa, ja voin otan häneltä tehtävän haltuuni tehokkaasti.;Tarjoan apuani empaattisesti ja pyrin varmistamaan, että toinen tuntee olonsa tuetuksi ja rauhalliseksi.
13;BvsD;3–7–8 vs 2–6–9;Et saa heti haluamaasi päätöstä.;Painan asiaa eteenpäin ja esitän perustelut suoraan.;Otan tilanteen maltillisesti ja pyrin ymmärtämään, mikä muita mietityttää, jotta voimme löytää yhteisen ratkaisun.
14;BvsD;3–7–8 vs 2–6–9;Työpaikalla tarvitaan nopea ratkaisu.;Teen ehdotuksen ja vien päätöksen ripeästi loppuun.;Koetan silti varmistaa lyhyesti, että ratkaisu tuntuu muista hyväksyttävältä.
15;DvsC;2–6–9 vs 1–5–6;Olet uudessa työryhmässä.;Pyrin luomaan lämpimän ja turvallisen ilmapiirin ja tunnustelemaan ryhmän tapaa toimia.;Haluan nopeasti selkeän käsityksen tavoitteista ja työnjaosta.
16;DvsC;2–6–9 vs 1–5–6;Et tiedä, mitä sinulta odotetaan.;Hakeudun keskustelemaan rauhallisesti varmistaakseni yhteisen linjan.;Pyydän täsmälliset ohjeet ja tavoitteet.
17;DvsC;2–6–9 vs 1–5–6;Joku on vihainen sinulle.;Pyrin rauhoittamaan tilanteen ja palauttamaan yhteyden.;Selvitän, mitä konkreettista tapahtui ja mikä oli väärin.
18;DvsC;2–6–9 vs 1–5–6;Olet stressaantunut.;Hidastan ja etsin keinoja palauttaa rauha.;Teen listan ja järjestän asiat saadakseni hallinnan.
19;DvsC;2–6–9 vs 1–5–6;Ryhmässä syntyy ristiriita.;Yritän tasoittaa tilannetta ja auttaa kaikkia tulemaan kuulluiksi.;Keskityn siihen, mikä prosessissa meni pieleen ja etsin selkeyttä.
20;DvsC;2–6–9 vs 1–5–6;Työhön tulee uusi sääntö tai ohjeistus.;Pohdin, miten muutos vaikuttaa ihmisiin ja sujuvuuteen.;Selvitän yksityiskohdat ja logiikan noudattaakseni ohjetta tarkasti.
21;DvsC;2–6–9 vs 1–5–6;Teet päätöksen, joka vaikuttaa muihin.;Varmistan, että päätös tuntuu oikeudenmukaiselta ja tukee yhteishenkeä.;Teen analyyttisen ratkaisun sen perusteella, mikä on järkevintä.
22;AvsB;4 vs 3–7–8;Mietit tulevaisuuttasi.;Tämä herättää minussa paljon ajatuksia ja tunteita, ja haluan valita suunnan, joka tuntuu oikealta.;Tunnistan konkreettiset mahdollisuudet ja suuntaan kohti tavoitteita.
23;AvsB;4 vs 3–7–8;Jokin tärkeä asia menee pieleen.;Tämä osuu minuun tunteella, ja mietin hetken, miksi se tuntuu niin paljon.;Keskityn korjaamiseen ja etenemiseen.
24;AvsB;4 vs 3–7–8;Olet sosiaalisessa tilanteessa uusien ihmisten kanssa.;Etsin mieluummin tilanteita, joissa jutut tuntuvat aidolta ja mukavilta.;Lähestyn ihmisiä itsevarmasti ja verkostoidun.
25;AvsB;4 vs 3–7–8;Saat uuden mahdollisuuden.;Pysähdyn hetkeksi ja tunnustelen, tuntuuko tämä minusta oikealta.;Hyödynnän tilaisuuden nopeasti kasvaakseni.
26;AvsB;4 vs 3–7–8;Koet voimakkaan tunteen.;Huomaan tunteen vahvasti ja mietin, mitä se kertoo siitä, mitä oikeasti tarvitsen.;Kanavoin tunteen toimintaan ja edistän asioita.
27;AvsB;4 vs 3–7–8;Kukaan ei tunnu ymmärtävän sinua.;Yritän selittää, miltä tämä minusta tuntuu, jotta toinen ymmärtäisi paremmin.;Siirryn eteenpäin ja keskityn tuloksiin, jotka puhuvat puolestaan.
28;AvsB;4 vs 3–7–8;Mietit onnistumisiasi.;Pohdin, tuntuivatko nämä onnistumiset minusta oikeilta ja omannäköisiltä.;Katson saavutuksia tulosten kautta ja mietin seuraavia tavoitteita.
29;AvsC;4 vs 1–5–6;Teet tärkeän päätöksen.;Valitsen sen, mikä tuntuu minulle sopivimmalta.;Teen päätöksen sen perusteella, mikä on perustelluinta ja järkevintä.
30;AvsC;4 vs 1–5–6;Sinua ohjataan noudattamaan uusia sääntöjä.;Mietin hetken, sopiiko tämä tapa minulle ja tuntuuko se luontevalta.;Noudatan ohjeita tarkasti, sillä ne tuovat selkeyttä.
31;AvsC;4 vs 1–5–6;Saat palautetta, joka ei tunnu mukavalta.;Tämä herättää minussa tunteita, ja pohdin, miksi se tuntuu tältä.;Erotan faktat tunteista ja etsin käytännön kehityskohtia.
32;AvsC;4 vs 1–5–6;Olet uudessa sosiaalisessa tilanteessa.;Hakeudun mieluummin tilanteisiin, joissa voin olla oma itseni.;Tarkkailen tilannetta ja etsin rakenteita, joiden kautta toimia.
33;AvsC;4 vs 1–5–6;Tulet erimielisyyteen jonkun kanssa.;Haluan ymmärtää paremmin, miksi tämä herättää minussa tunteita.;Selvitän konkreettisen erimielisyyden ja etsin rationaalisen ratkaisun.
34;AvsC;4 vs 1–5–6;Suunnittelet tulevaa.;Mietin, millainen suunta tuntuisi minulle hyvältä ja omalta.;Laadin realistisen suunnitelman resurssien ja riskien mukaan.
35;AvsC;4 vs 1–5–6;Koet vaikeuksia arjessa.;Pysähdyn miettimään, miksi tämä painaa minua ja mitä tarvitsisin voidakseni paremmin.;Etsin syyn ja teen ratkaisusuunnitelman.
36;AvsD;4 vs 2–6–9;Teet päätöksen, joka vaikuttaa myös muihin.;Valitsen sen, mikä tuntuu minulle oikealta.;Valitsen vaihtoehdon, joka tukee yhteistä hyvää ja pitää ilmapiirin tasapainoisena.
37;AvsD;4 vs 2–6–9;Et tunne olevasi osa ryhmää.;Tämä tuntuu minusta ikävältä, ja mietin, miksi en oikein löydä paikkaani.;Hakeudun rauhallisesti mukaan ja pyrin luomaan ystävällisen yhteyden muihin.
38;AvsD;4 vs 2–6–9;Sinulla on ristiriita läheisen kanssa.;Tämä herättää minussa paljon tunteita, ja haluan ymmärtää, mistä ne tulevat.;Pyrin kuuntelemaan toista ja löytämään sovittelevan tavan edetä ilman vastakkainasettelua.
39;AvsD;4 vs 2–6–9;Joku ei ymmärrä sinua.;Yritän kertoa selkeämmin, miltä asia minusta tuntuu.;Yritän selittää asian lempeästi ja huomioida toisen tunteet, jotta yhteys säilyy.
40;AvsD;4 vs 2–6–9;Et saa tarvitsemaasi huomiota.;Tämä tuntuu minusta pahalta ja mietin, miksi se koskettaa minua näin.;Pidän tilanteen rauhallisena ja etsin tapaa olla yhteydessä toisiin ilman, että syntyy kitkaa.
41;AvsD;4 vs 2–6–9;Ajattelet tulevaisuutta.;Mietin, millainen elämä tuntuisi minulle hyvältä ja sopivalta.;Ajattelen, mikä tuo minulle ja läheisilleni turvaa ja tasapainoa.
42;AvsD;4 vs 2–6–9;Olet stressaantunut.;Tämä tuntuu minussa voimakkaasti ja mietin, mikä elämässäni kuormittaa.;Pyrin rauhoittumaan, keventämään tilannetta ja hakemaan tukea tai lohtua läheisiltä.
